"Path","Lines"
"C:\Users\aryar\.gemini\antigravity\scratch\Projetos Serios\Projeto - Gerenciador de Grupo do WhatsApp\backend\main.py","860"
"C:\Users\aryar\.gemini\antigravity\scratch\Projetos Serios\Projeto - Gerenciador de Grupo do WhatsApp\frontend\src\pages\Users.jsx","420"
"C:\Users\aryar\.gemini\antigravity\scratch\Projetos Serios\Projeto - Gerenciador de Grupo do WhatsApp\backend\scheduler.py","310"
"C:\Users\aryar\.gemini\antigravity\scratch\Projetos Serios\Projeto - Gerenciador de Grupo do WhatsApp\frontend\src\pages\Logs.jsx","308"
"C:\Users\aryar\.gemini\antigravity\scratch\Projetos Serios\Projeto - Gerenciador de Grupo do WhatsApp\frontend\src\pages\Dashboard.jsx","272"
"C:\Users\aryar\.gemini\antigravity\scratch\Projetos Serios\Projeto - Gerenciador de Grupo do WhatsApp\frontend\src\pages\Groups\components\MessagesModal.jsx","253"
"C:\Users\aryar\.gemini\antigravity\scratch\Projetos Serios\Projeto - Gerenciador de Grupo do WhatsApp\frontend\src\pages\Capture.jsx","179"
"C:\Users\aryar\.gemini\antigravity\scratch\Projetos Serios\Projeto - Gerenciador de Grupo do WhatsApp\frontend\src\pages\Settings.jsx","163"
"C:\Users\aryar\.gemini\antigravity\scratch\Projetos Serios\Projeto - Gerenciador de Grupo do WhatsApp\backend\tests\test_core.py","144"
"C:\Users\aryar\.gemini\antigravity\scratch\Projetos Serios\Projeto - Gerenciador de Grupo do WhatsApp\frontend\src\hooks\useGroups.js","137"
"C:\Users\aryar\.gemini\antigravity\scratch\Projetos Serios\Projeto - Gerenciador de Grupo do WhatsApp\frontend\src\App.jsx","129"
"C:\Users\aryar\.gemini\antigravity\scratch\Projetos Serios\Projeto - Gerenciador de Grupo do WhatsApp\backend\migrations.py","129"
"C:\Users\aryar\.gemini\antigravity\scratch\Projetos Serios\Projeto - Gerenciador de Grupo do WhatsApp\frontend\src\components\layout\Sidebar.jsx","111"
"C:\Users\aryar\.gemini\antigravity\scratch\Projetos Serios\Projeto - Gerenciador de Grupo do WhatsApp\frontend\src\pages\Groups\components\GroupForm.jsx","106"
"C:\Users\aryar\.gemini\antigravity\scratch\Projetos Serios\Projeto - Gerenciador de Grupo do WhatsApp\frontend\src\pages\Scheduling\components\MessageForm.jsx","105"
"C:\Users\aryar\.gemini\antigravity\scratch\Projetos Serios\Projeto - Gerenciador de Grupo do WhatsApp\frontend\src\hooks\useScheduling.js","91"
"C:\Users\aryar\.gemini\antigravity\scratch\Projetos Serios\Projeto - Gerenciador de Grupo do WhatsApp\backend\security.py","91"
"C:\Users\aryar\.gemini\antigravity\scratch\Projetos Serios\Projeto - Gerenciador de Grupo do WhatsApp\frontend\src\pages\Scheduling\components\MessagesList.jsx","86"
"C:\Users\aryar\.gemini\antigravity\scratch\Projetos Serios\Projeto - Gerenciador de Grupo do WhatsApp\frontend\src\pages\Groups\components\GroupsTable.jsx","85"
"C:\Users\aryar\.gemini\antigravity\scratch\Projetos Serios\Projeto - Gerenciador de Grupo do WhatsApp\backend\schemas.py","85"
"C:\Users\aryar\.gemini\antigravity\scratch\Projetos Serios\Projeto - Gerenciador de Grupo do WhatsApp\frontend\src\pages\Groups\index.jsx","83"
"C:\Users\aryar\.gemini\antigravity\scratch\Projetos Serios\Projeto - Gerenciador de Grupo do WhatsApp\frontend\src\test\App.test.jsx","80"
"C:\Users\aryar\.gemini\antigravity\scratch\Projetos Serios\Projeto - Gerenciador de Grupo do WhatsApp\frontend\src\pages\Login.jsx","78"
"C:\Users\aryar\.gemini\antigravity\scratch\Projetos Serios\Projeto - Gerenciador de Grupo do WhatsApp\backend\tests\test_dashboard.py","76"
"C:\Users\aryar\.gemini\antigravity\scratch\Projetos Serios\Projeto - Gerenciador de Grupo do WhatsApp\backend\tests\conftest.py","75"
"C:\Users\aryar\.gemini\antigravity\scratch\Projetos Serios\Projeto - Gerenciador de Grupo do WhatsApp\backend\models.py","69"
"C:\Users\aryar\.gemini\antigravity\scratch\Projetos Serios\Projeto - Gerenciador de Grupo do WhatsApp\frontend\src\test\Funnel.test.jsx","68"
"C:\Users\aryar\.gemini\antigravity\scratch\Projetos Serios\Projeto - Gerenciador de Grupo do WhatsApp\backend\tests\test_webhook.py","58"
"C:\Users\aryar\.gemini\antigravity\scratch\Projetos Serios\Projeto - Gerenciador de Grupo do WhatsApp\backend\tests\test_audio_enquete.py","54"
"C:\Users\aryar\.gemini\antigravity\scratch\Projetos Serios\Projeto - Gerenciador de Grupo do WhatsApp\frontend\src\pages\Scheduling\index.jsx","48"
